Specimen,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex,species,genus
Sceloporus undulatus TMM 40450-1662 dentary L 13,,7.84,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 14,,7.79,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 15,,8.39,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 16,,7.92,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 17,,6.68,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 1,,8.61,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 2,,8.82,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 3,,6.68,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 4,,7.89,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 5,,7.17,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 6,,7.79,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 7,,7.24,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 8,,7.22,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary R 9,,7.02,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 ooccipital complex,,,,,,,,,2.1,,,,,,,,,,,Fossil
Phrynosoma cornutum TMM 40450-1664 dentary,,5.8,,,,,,,,,,,,,,,,,,Fossil
